"","theta","k","bias_mean","bias_mle","bias_rb","bias_DNN","bias_js","var_mean","var_mle","var_rb","var_DNN","var_js","MSE_mean","MSE_mle","MSE_rb","MSE_DNN","MSE_js","MSE_half","var_ratio_mean","var_ratio_mle","var_ratio_rb","var_ratio_js","MSE_ratio_mean","MSE_ratio_mle","MSE_ratio_rb","MSE_ratio_js","MSE_ratio_half"
"11","min",0.1,-4.5374039473689e-05,-0.000149332561602655,-4.91883301174667e-05,-0.000115582706268214,-0.000704871524651374,8.32356982749363e-05,5.87314908063887e-05,3.7813227403127e-05,3.75009153773438e-05,5.87184400890664e-05,8.32356416118705e-05,5.87314447223168e-05,3.78131926321047e-05,3.75008915339612e-05,5.8721085332104e-05,4.15933038025167e-05,2.21053441907232,1.56386104259434,1.00777529155429,1.56351353722523,2.2105272952208,1.56386295860547,1.00777311211667,1.5635715282385,1.10822690395996
"111","0.5",0.9,1.44595364748312e-06,1.92127438429779e-05,1.16990575911302e-05,-0.00417587253741808,-0.00448096017085164,0.0067544449062615,0.00184406299563318,0.00306689616034983,0.00180873290211208,0.0018110192308144,0.00675443815390756,0.00184406152069967,0.00306689323032162,0.00182616900482795,0.00183109642384792,0.002098070956235,3.73435176546755,1.01953306288609,1.69560478319854,1.00126404993222,3.69869280228196,1.00979784227222,1.67941369183985,1.0026982272763,1.14889199777688
"12","1",0.9,0.000177117665084214,8.58896325246494e-05,0.000234613120652982,-0.00829335171599377,-0.00891488337416824,0.0270059743186223,0.0073889127990178,0.0122893909573532,0.0072469609870641,0.00725651087057199,0.0270059786833158,0.00738891278713379,0.0122894337112788,0.0073157334227884,0.00733597875963617,0.00840411498358515,3.72652403770743,1.01958777095766,1.69579924319862,1.00131777768984,3.69149299497335,1.0100030113341,1.67986352168019,1.00276736940478,1.14877272009481
"13","1.5",0.9,-5.82510299391714e-05,0.000210849954985992,0.00031815592071438,-0.0123662520658963,-0.0132910476946091,0.0607975594140026,0.0166217308658021,0.0276507619061114,0.0163032843338407,0.0163238860704178,0.0607975020096251,0.0166217587017748,0.027650835478539,0.0164561922207142,0.0165005216953522,0.0189097658295021,3.72916022128163,1.01953266136078,1.69602402435667,1.00126365560186,3.69450606763675,1.01006104442875,1.6802693543974,1.0026937868763,1.14909728665538
"14","2",0.9,0.000341251714743418,0.000135660896177114,0.000211464146198992,-0.0166367471001467,-0.0178655600518887,0.107998180799981,0.0295703695723123,0.049017713415958,0.0289963821432328,0.0290404981199467,0.107998189254535,0.0295703584058218,0.049017709115328,0.0292731345009246,0.0293596473154159,0.0335740521806788,3.724539850058,1.01979513948479,1.69047687307424,1.00152143038038,3.68932781185846,1.01015347040775,1.67449471848598,1.00295536559259,1.14692371531372
"15","2.5",0.9,0.000305713760406778,1.14721067041579e-05,0.000124562046142085,-0.0209509444187468,-0.0224886311422563,0.168950610536707,0.046343927622799,0.076946165300062,0.045451498091315,0.0455134907837238,0.168950535047011,0.0463438814104806,0.0769461038695972,0.0458903947118542,0.0460191838008877,0.0526781926905693,3.71716263779192,1.01963476604646,1.69292913394125,1.00136393067362,3.68160997759664,1.00988195245375,1.67673658840247,1.0028064497994,1.14791326205267
"16","3",0.9,0.000300291289609511,0.000201966975774237,0.000651837703240066,-0.0249325353512422,-0.026799850727008,0.2426632202214,0.0666504388048555,0.110731897372081,0.0653663280228657,0.0654561295919097,0.24266306773304,0.0666504129450772,0.110732211532575,0.0659878939755774,0.0661742961347728,0.0757646704190124,3.71235814464773,1.01964483581731,1.69402046468552,1.00137382000428,3.67738767087872,1.01004000778908,1.67806857987555,1.00282479327594,1.14816015263426
"17","3.5",0.9,-0.000469409695563527,-0.000383750960128104,-0.00014069778750958,-0.0297205707396087,-0.0318802972014871,0.331458093875605,0.0908804849023034,0.150800965782296,0.0891342592571211,0.0892519974933396,0.331457982762974,0.0908805412866184,0.150800834777191,0.0900174824479509,0.0902682615909972,0.103306284715687,3.71863856431975,1.01959095929821,1.69184067988143,1.00132090889855,3.68215121939926,1.00958768025052,1.67523941656984,1.00278589376448,1.1476246825212
"18","4",0.9,0.000837924164228454,-5.13787553599876e-05,0.000132186442391991,-0.0335879524359304,-0.0360509163465621,0.431751601508578,0.118428900155608,0.196289915645747,0.116138599626385,0.116306772693718,0.431751871873866,0.118428784366485,0.196289736829087,0.117266634036622,0.117606324956374,0.134499223947991,3.71755473974641,1.01972040765594,1.69013503070647,1.00144803767115,3.68179640714368,1.00991032393323,1.67387542451152,1.0028967397465,1.14695220045276
"19","4.5",0.9,-0.000672047862025238,0.000129930261672406,-5.90434941170059e-05,-0.0376260361966398,-0.0403712391106827,0.546718608718332,0.149885772931318,0.248645195626836,0.14700915009886,0.147199969766164,0.546718513648032,0.149885639927423,0.248644950467771,0.148424721689582,0.148829659513529,0.170361100450581,3.718942721257,1.01956764480663,1.69135863624563,1.00129801217935,3.6834733959714,1.00984282282096,1.67522598417124,1.00272823704392,1.14779464304388
"20","5",0.9,0.000955804304704877,0.000374623174177025,0.000842081338181977,-0.0415311133696656,-0.0446287484343904,0.674919351147142,0.184717532887926,0.306509077688698,0.181158602515685,0.181407579416107,0.674919589789687,0.184717488512918,0.306509480280599,0.182883254734809,0.18339912319535,0.209890398244517,3.72557163598513,1.01964538433626,1.69193774644049,1.00137435869434,3.69043951436865,1.01002953376332,1.67598439083477,1.00282075284197,1.14767422828772
"22","min",0.9,-0.000672047862025238,-0.000383750960128104,-0.00014069778750958,-0.0415311133696656,-0.0446287484343904,0.0067544449062615,0.00184406299563318,0.00306689616034983,0.00180873290211208,0.0018110192308144,0.00675443815390756,0.00184406152069967,0.00306689323032162,0.00182616900482795,0.00183109642384792,0.002098070956235,3.71235814464773,1.01953266136078,1.69013503070647,1.00126365560186,3.67738767087872,1.00958768025052,1.67387542451152,1.0026937868763,1.14692371531372
